date,start,away,away_pts,home,home_pts,attend,winner
2021-10-19,7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,17341.0,home
2021-10-19,10:00p,Golden State Warriors,121,Los Angeles Lakers,114,18997.0,away
2021-10-20,7:00p,Indiana Pacers,122,Charlotte Hornets,123,15521.0,home
2021-10-20,7:00p,Chicago Bulls,94,Detroit Pistons,88,20088.0,away
2021-10-20,7:30p,Boston Celtics,134,New York Knicks,138,19812.0,home
2021-10-20,7:30p,Washington Wizards,98,Toronto Raptors,83,19800.0,away
2021-10-20,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,15975.0,home
2021-10-20,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,16079.0,home
2021-10-20,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,12845.0,away
2021-10-20,8:30p,Orlando Magic,97,San Antonio Spurs,123,16697.0,home
2021-10-20,9:00p,Oklahoma City Thunder,86,Utah Jazz,107,18306.0,home
2021-10-20,10:00p,Sacramento Kings,124,Portland Trail Blazers,121,17467.0,away
2021-10-20,10:00p,Denver Nuggets,110,Phoenix Suns,98,16074.0,away
2021-10-21,7:30p,Dallas Mavericks,87,Atlanta Hawks,113,17162.0,home
2021-10-21,8:00p,Milwaukee Bucks,95,Miami Heat,137,19600.0,home
2021-10-21,10:00p,Los Angeles Clippers,113,Golden State Warriors,115,18064.0,home
2021-10-22,7:00p,New York Knicks,121,Orlando Magic,96,18846.0,away
2021-10-22,7:00p,Indiana Pacers,134,Washington Wizards,135,15407.0,home
2021-10-22,7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,17116.0,away
2021-10-22,7:30p,Toronto Raptors,115,Boston Celtics,83,19156.0,away
2021-10-22,7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,20367.0,away
2021-10-22,8:00p,Oklahoma City Thunder,91,Houston Rockets,124,15674.0,home
2021-10-22,8:00p,New Orleans Pelicans,112,Chicago Bulls,128,20995.0,home
2021-10-22,9:00p,San Antonio Spurs,96,Denver Nuggets,102,19520.0,home
2021-10-22,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,18997.0,away
2021-10-22,10:00p,Utah Jazz,110,Sacramento Kings,101,17583.0,away
2021-10-23,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,16846.0,home
2021-10-23,7:00p,Miami Heat,91,Indiana Pacers,102,17147.0,home
2021-10-23,7:30p,Dallas Mavericks,103,Toronto Raptors,95,19800.0,away
2021-10-23,8:00p,Detroit Pistons,82,Chicago Bulls,97,18888.0,home
2021-10-23,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,15343.0,home
2021-10-23,8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,14353.0,away
2021-10-23,10:00p,Phoenix Suns,105,Portland Trail Blazers,134,18558.0,home
2021-10-23,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,16748.0,away
2021-10-24,4:00p,Charlotte Hornets,111,Brooklyn Nets,95,17732.0,away
2021-10-24,7:00p,Boston Celtics,107,Houston Rockets,97,16069.0,away
2021-10-24,7:00p,Orlando Magic,110,New York Knicks,104,16273.0,away
2021-10-24,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,14256.0,away
2021-10-24,9:00p,Golden State Warriors,119,Sacramento Kings,107,13876.0,away
2021-10-24,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,18997.0,home
2021-10-25,7:00p,Boston Celtics,140,Charlotte Hornets,129,17238.0,away
2021-10-25,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,10339.0,away
2021-10-25,7:30p,Chicago Bulls,111,Toronto Raptors,108,19800.0,away
2021-10-25,7:30p,Orlando Magic,90,Miami Heat,107,19600.0,home
2021-10-25,7:30p,Washington Wizards,90,Brooklyn Nets,104,14487.0,home
2021-10-25,7:30p,Detroit Pistons,104,Atlanta Hawks,122,14209.0,home
2021-10-25,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,14435.0,away
2021-10-25,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,14221.0,away
2021-10-25,10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,15672.0,home
2021-10-26,7:30p,Philadelphia 76ers,99,New York Knicks,112,15218.0,home
2021-10-26,8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,0.0,away
2021-10-26,8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,18354.0,away
2021-10-26,8:30p,Houston Rockets,106,Dallas Mavericks,116,19337.0,home
2021-10-26,10:00p,Denver Nuggets,110,Utah Jazz,122,18306.0,home
2021-10-27,7:00p,Charlotte Hornets,120,Orlando Magic,111,14082.0,away
2021-10-27,7:30p,Washington Wizards,116,Boston Celtics,107,,away
2021-10-27,7:30p,Miami Heat,106,Brooklyn Nets,93,17732.0,away
2021-10-27,7:30p,Indiana Pacers,100,Toronto Raptors,118,19800.0,home
2021-10-27,7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,15541.0,away
2021-10-27,8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,17341.0,away
2021-10-27,8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,15783.0,home
2021-10-27,10:00p,Sacramento Kings,110,Phoenix Suns,107,14678.0,away
2021-10-27,10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,16241.0,home
2021-10-27,10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,13276.0,away
2021-10-28,7:00p,Atlanta Hawks,111,Washington Wizards,122,13653.0,home
2021-10-28,7:00p,Detroit Pistons,102,Philadelphia 76ers,110,20017.0,home
2021-10-28,8:00p,Utah Jazz,122,Houston Rockets,91,15858.0,away
2021-10-28,8:00p,New York Knicks,104,Chicago Bulls,103,20972.0,away
2021-10-28,8:30p,San Antonio Spurs,99,Dallas Mavericks,104,19228.0,home
2021-10-28,10:00p,Memphis Grizzlies,104,Golden State Warriors,101,18064.0,away
2021-10-29,7:00p,Orlando Magic,109,Toronto Raptors,110,19800.0,home
2021-10-29,7:30p,Charlotte Hornets,99,Miami Heat,114,19600.0,home
2021-10-29,7:30p,Indiana Pacers,98,Brooklyn Nets,105,16139.0,home
2021-10-29,8:00p,Sacramento Kings,113,New Orleans Pelicans,109,17507.0,away
